sede_id,sede,dane_ie_principal,institucion_principal,municipio_id,municipio,subregion,operador,link_linea_base,link_noviembre
20512000104401,E R SANTA INES DEL MONTE,205120001044,CENTRO EDUCATIVO RURAL SANTA INES DEL MONTE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000104404,E. R. LA LANCHA ,205120001044,CENTRO EDUCATIVO RURAL SANTA INES DEL MONTE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,https://drive.google.com/file/d/1JgQg3bJ3-k9xwP5QkJ-2c14Um5WWDiRM/view?usp=sharing,
20512000104402,ESCUELA GETSEMANY,205120001044,CENTRO EDUCATIVO RURAL SANTA INES DEL MONTE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000104403,ESCUELA PATIO BONITO ,205120001044,CENTRO EDUCATIVO RURAL SANTA INES DEL MONTE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000036601,COLEGIO AURELIO MEJIA,205120000366,I. E. AURELIO MEJIA,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000036602,E R ASTURIAS,205120000366,I. E. AURELIO MEJIA,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000036604,E R LOS COMUNEROS,205120000366,I. E. AURELIO MEJIA,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,https://drive.google.com/file/d/1AK_j80MVG6Hwcr2EDVluJaco5w6E7j6z/view?usp=sharing,
20512000036605,E R SAN JUDAS,205120000366,I. E. AURELIO MEJIA,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000036606,E R SAN LORENZO,205120000366,I. E. AURELIO MEJIA,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000143503,E R LA CEIBA ,205120001435,I. E. GASPAR DE RODAS,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000143502,E U JARDIN ,205120001435,I. E. GASPAR DE RODAS,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,https://drive.google.com/file/d/1z8A0wBzJtQdpoHvVIm9K_wU7ep_GmtQ0/view?usp=sharing,
20512000143501,LICEO GASPAR DE RODAS,205120001435,I. E. GASPAR DE RODAS,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000008101,COLEGIO GUARUMO,205120000081,I. E. GUARUMO,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000008105,COLEGIO PUENTE RIO MAN,205120000081,I. E. GUARUMO,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,https://drive.google.com/file/d/1GOQ39SxAEXW0EnHfxugUpO8UrX8IVJgB/view?usp=sharing,
20512000031504,E. R. NICARAGUA ,205120000315,I. E. MANIZALES,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000031503,E. R. SANTA LUCIA ,205120000315,I. E. MANIZALES,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000031501,E. U. MANIZALES,205120000315,I. E. MANIZALES,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000039105,C.E.R LA GRANJA,205120000391,I. E. PIAMONTE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,https://drive.google.com/file/d/1ehRKfXwBnVOhP7gB_MV454BL4MdaNE7j/view?usp=sharing,
20512000039103,C.E.R. SAN MATIAS,205120000391,I. E. PIAMONTE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,https://drive.google.com/file/d/1CtWOYSPXR8OA0nMt7duxQ4ki4LIDBBj6/view?usp=sharing,
20512000039101,COLEGIO PIAMONTE,205120000391,I. E. PIAMONTE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,https://drive.google.com/file/d/1L-7QKqdM2CzYlokifEiforJvpQ50W9eo/view?usp=sharing,
20512000039102,E. R. AGUA LINDA ,205120000391,I. E. PIAMONTE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000039106,EL CACUCHO,205120000391,I. E. PIAMONTE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035808,C.E R BEJUQUILLO,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035811,C.E.R ANARA,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035807,C.E.R PELADERO,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035814,C.E.R. EL DIAMANTE,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035813,C.E.R. SAN PABLO,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035803,E R ALTO TAMANA,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035802,E R EL CALVARIO,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035804,E R ESPIRITU SANTO,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035805,E R I MURIBA,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035810,E R I SAN JUAN DE LOS CUATRO MORROS,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035809,E R LA ALCANCIA,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035806,ESCUELA LA FLORESTA,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035812,ESCUELA SAN FRANCISCO,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20512000035801,I. E. R. EL TIGRE,205120000358,I.E.R. EL TIGRE,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
10512000034504,BUENOS AIRES,105120000345,INSTITUCION EDUCATIVA MONSEÑOR GERARDO PATIÑO,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
10512000034501,LICEO CACERES,105120000345,INSTITUCION EDUCATIVA MONSEÑOR GERARDO PATIÑO,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
10512000034502,ROMUALDO GALLEGO TORO,105120000345,INSTITUCION EDUCATIVA MONSEÑOR GERARDO PATIÑO,5120,CACERES,Bajo Cauca,CORPOEDUCACIÓN,,
20515400012805,BARRIO CHINO,205154000128,CENTRO EDUCATIVO RURAL RIVERAS DEL CAUCA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,,
20515400012801,C. E. R. RIVERAS DEL CAUCA,205154000128,CENTRO EDUCATIVO RURAL RIVERAS DEL CAUCA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,https://drive.google.com/file/d/1DM_Pu0IZ3tDRJulNinMIU-zCQn9gkI19/view?usp=sharing,
20515400012804,LA ESMERALDA,205154000128,CENTRO EDUCATIVO RURAL RIVERAS DEL CAUCA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,,
20515400012803,LA ILUSION,205154000128,CENTRO EDUCATIVO RURAL RIVERAS DEL CAUCA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,https://drive.google.com/file/d/1kpqH3yzuihMSuJoJKa9f2W2BIW5iYaRt/view?usp=sharing,
20515400012807,LOS MEDIOS,205154000128,CENTRO EDUCATIVO RURAL RIVERAS DEL CAUCA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,,
20515400012808,RIO VIEJO,205154000128,CENTRO EDUCATIVO RURAL RIVERAS DEL CAUCA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,https://drive.google.com/file/d/1M7a8BnfZny2BlmImJchVrmrDfj2gr-QO/view?usp=sharing,
20515400012806,SANTIAGO CASTILLO,205154000128,CENTRO EDUCATIVO RURAL RIVERAS DEL CAUCA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,https://drive.google.com/file/d/1FXlcFLvoR4yjnWU58TELVqO20iinO87A/view?usp=sharing,
20515400101904,C. E. R. 20 DE JULIO,205154001019,E R VILLA FATIMA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,,
20515400101902,E R I LAS BATATAS,205154001019,E R VILLA FATIMA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,,
20589500047805,E R I LUIS LOPEZ DE MESA,205154001019,E R VILLA FATIMA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,,
20515400101907,E R I SANTA TERESITA,205154001019,E R VILLA FATIMA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,,
20515400101906,E R JOSE ANTONIO PAEZ,205154001019,E R VILLA FATIMA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,,
20515400101908,E R LA GARRAPATA,205154001019,E R VILLA FATIMA,5154,CAUCASIA,Bajo Cauca,CORPOEDUCACIÓN,,
